id,name,type,location,startDate,endDate,website,hostingTeams
"3665","2011 Governor's Cup","Invitational","Spindle Top, TX","2011-02-12","2011-02-13","",""
"17740","2011 Great Yorkshire Showdown","Invitational","Huddersfield, UK","2011-04-02","2011-04-02","http://leedsrollerdolls.com/great_yorkshire_showdown_2011","7930"
"3661","2011 Honky Tonk Stomp","Invitational","Knoxville, TN","2011-06-04","2011-06-04","http://www.hardknoxrollergirls.com/honkytonkstomp.html",""
"4192","2011 Midwest Brewhaha","Invitational","Milwaukee, WI","2011-05-21","2011-05-22","http://www.brewcitybruisers.com/brewhaha.php",""
"20361","2011 Mitten Kitten Mash-Up","Invitational","Shelby Township, MI","2011-11-05","2011-11-06","","15020"
"44159","2011 NWC","Invitational","","2011-08-06","2011-08-06","",""
"4191","2011 Rocket City Rumble","Invitational","Huntsville, AL","2011-05-14","2011-05-14","http://www.dixiederbygirls.com/rcr.htm",""
"21933","2011 Rollerpalooza","Invitational","","2011-08-19","2011-08-20","",""
"20985","2011 Rolling Along the River","Invitational","Sioux City, IA","2011-10-15","2011-10-16","","8093"
"21739","2011 Skates & Spurs","Invitational","","2011-07-02","2011-07-03","",""
"13627","2011 Southern Belle Ringer","Invitational","Gulfport, MS","2011-11-05","2011-11-05","","7858"
"4194","2011 Spring Roll","Invitational","Fort Wayne, IN","2011-05-14","2011-05-14","http://www.fwderbygirls.com/springroll2011/",""
"22025","2011 Spudtown Knockdown","Invitational","","2011-09-03","2011-09-04","",""
"17742","2011 Tattoo Freeze","Invitational","Telford, UK","2011-01-15","2011-01-16","","7763"
"13638","2011 Triple-D Tournament","Invitational","Oswego, NY","2011-07-29","2011-07-31","http://tripled2011.com/past-event-2011/triple-d-2011","8727"
"25161","2011 Tropicarnage Cup","Invitational","","2011-11-18","2011-11-20","",""
"18154","2011 Virginia is for Shovers","Invitational","","2011-08-06","2011-08-06","",""
"14674","2012 All 8 On the Floor","Invitational","Auburn, MA","2012-08-04","2012-08-05","http://www.worcesterrollerderby.com/events.php","11359"
"7380","2012 B-Cup Challenge","Invitational","Bloomington, IN","2012-02-04","2012-02-05","http://www.bleedingheartlandrollergirls.com/2012/01/bcup2012/","3455"
"22663","2012 Battle for the Coast","Invitational","","2012-04-21","2012-04-22","",""
"23008","2012 Battle of the Islands 1","Invitational","","2012-07-14","2012-07-15","",""
"25546","2012 Battle of the Islands 2","Invitational","","2012-09-28","2012-09-29","",""
"9944","2012 Beast of the East","Invitational","Montreal, Quebec, Canada","2012-04-21","2012-04-22","http://beast.mtlrd.com/","3461"
"6544","2012 Clover Cup","Invitational","Dallas, TX","2012-03-24","2012-03-25","http://www.dddclovercup.com/","3400"
"22546","2012 Dust Bowl Invitational","Invitational","","2012-03-24","2012-03-25","",""
"6545","2012 Dust Devil","Seeded Bracket","Tucson, AZ","2012-04-13","2012-04-15","http://www.facebook.com/pages/Dust-Devil-Tournament/130864107013159","3398,3399"
